XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
11213776;Марта;11213776;08.03.2013;10687;10890418;2116144;10963120;;/upload/iblock/7b1/7b1dbcb78df061097bd06f7a8d391acb.jpg
11213842;Пушок;11213842;04.10.2004;10672;10890412;1781988;10963024;;/upload/iblock/cb9/cb9bc0ff1542aed88781168a0e4a819f.jpg
11213944;Маркиз;11213944;27.08.2017;10672;10890412;1781988;10962994;;/upload/iblock/25a/25a929b0b59892f89f1c4a00a88e93fe.jpg
11214724;Балу;11214724;07.10.2017;10672;10890412;2703436;10963015;;/upload/iblock/bba/bba2dbd2cb9aad25a8e29b7c02f97ea7.jpg
11214724;Балу;11214724;07.10.2017;10672;10890412;2703436;10963015;;/upload/iblock/de2/de257ad77d54abc27780374e6e2ec927.jpg
11214724;Балу;11214724;07.10.2017;10672;10890412;2703436;10963015;;/upload/iblock/27b/27bbe2f64994fe324169e6cbfc1b2a76.jpg
11214790;Трофим;11214790;01.07.2011;10687;10890412;2045811;10963288;;/upload/iblock/08f/08ffbcf74da50c09704d2b0c2b93ea45.jpg
11214895;Джина;11214895;09.10.2015;10687;10890418;1875366;10963273;;/upload/iblock/bee/beeb719d8c48c4fc870002c637be1867.jpg
11214895;Джина;11214895;09.10.2015;10687;10890418;1875366;10963273;;/upload/iblock/c72/c725239507c3308dd3298ae24924dcbf.jpg
11214898;Дизель;11214898;06.03.2015;10672;10890412;19901;10963015;;/upload/iblock/8af/8afc79f5ea9b2ff21d6556f7636e9b70.jpg
11214898;Дизель;11214898;06.03.2015;10672;10890412;19901;10963015;;/upload/iblock/863/863087e297ea830cb8e37ae49c5a631d.jpg
11215147;Зяма;11215147;01.11.2017;10666;10890412;2742109;10962925;;
11215327;Марта;11215327;;10672;10890418;48435;10962943;;/upload/iblock/7da/7da8c2cde018b3a70950f58130d151df.jpg
11215366;Чарли;11215366;;10687;10890412;48435;10963339;;/upload/iblock/faf/fafd8924e747efffda453d394e3113a3.jpg
11215720;Добби;11215720;15.06.2015;10687;10890412;2612377;10963120;;/upload/iblock/68b/68babc267af80a739e50a430c42c49ad.jpg
11215720;Добби;11215720;15.06.2015;10687;10890412;2612377;10963120;;/upload/iblock/278/27817884e9faa0573f7f3c46a72a8b6a.jpg
11215819;Рыжуля;11215819;13.03.2009;10672;10890412;99039;11142;Дворянин;/upload/iblock/70b/70bfeeae4f17d892422c386a0c289381.jpg
11216014;Адель;11216014;03.10.2015;10687;10890418;2128868;10963120;;
11216026;Василиса;11216026;;10681;10890418;2128868;10963087;;
11216113;Мотя;11216113;08.03.2013;10672;10890418;2691214;10963036;;/upload/iblock/f90/f90ef733c3e02c4144804e8e67d5aaf3.jpg
11216188;Джесси;11216188;07.11.2015;10687;10890418;2691214;10963114;;/upload/iblock/774/7740eff03800012c44da571bb0f1f06c.jpg
11216305;Джессика ;11216305;07.08.2017;10687;10890418;374738;10963237;;
11216617;Тимон;11216617;01.06.2012;10672;10890412;1166603;10962943;;/upload/iblock/3ca/3ca72328e2d64fd74d5a3a358458f4f1.jpg
11216662;Джессика;11216662;11.09.2013;10687;10890418;2088864;10963294;;/upload/iblock/1b2/1b2983ca4fc79a2bcdcb8ae48d07120c.jpg
11217733;Hollywood;11217733;;10672;10890412;2275347;10963015;;/upload/iblock/ab1/ab134f3f4282fb840d03c5fd164d505c.jpg
11218102;Бакс;11218102;13.03.2017;10687;10890412;1866288;10963120;;
11218219;Макс;11218219;04.07.2002;10672;10890412;2626919;10963024;;
11218510;Багира;11218510;;10687;10890418;105523;10963120;;
11219419;Марли;11219419;15.10.2016;10687;10890412;1221091;10963171;;/upload/iblock/140/1408c679802e54fff86a22ba2e667309.jpg
11219419;Марли;11219419;15.10.2016;10687;10890412;1221091;10963171;;/upload/iblock/f87/f87f47416f59183525ab347cae416e38.jpg
11219449;Мия;11219449;26.11.2014;10672;10890418;1221091;10962985;;/upload/iblock/782/782c13aa9ebde1a1c7907c2ca6f0dc41.jpg
11220298;Спенсер;11220298;01.07.2017;10687;10890412;2277687;10963117;;/upload/iblock/1fa/1fab38614f9b652581de414b0a87c48a.jpg
11220355;Оззи;11220355;21.11.2016;10672;10890412;1601109;11142;Меконгский бобтейл;/upload/iblock/964/9642fd26b2c5c507ef1ad0e43061b096.jpg
